品牌/Brand,車型/Model,資訊/Info,年份/Year,冷媒/Refrigerant,冷媒量/Amount (g),冷凍油/Oil (cc)
車型 / Car model /  Car model,G-CLASS 164 / G-CLASS 164, / ,2006 -,R134a,970,110
車型 / Car model /  Car model,G-CLASS 164 / G-CLASS 164,with rear AC / with rear AC,2006 -,R134a,1220,110
車型 / Car model /  Car model,G Class W461/W463 1Blower/2Blower / G Class W461/W463 1Blower/2Blower, / ,1998 - 2018,R134a,1050 ± 1180,200 ± 20
車型 / Car model /  Car model,GLA X156 / GLA X156, / ,2013 -,R134a/R1234yf,650 ± 630,110 ± 10
車型 / Car model /  Car model,GLC C253/X253 / GLC C253/X253, / ,2015 -,R134a/R1234yf,650 ± 630,110 ± 10
車型 / Car model /  Car model,GLE W166 / GLE W166, / ,2011 - 2017,R134a,630 ± 20,110 ± 10
車型 / Car model /  Car model,GLE W167 / GLE W167, / ,2018 -,R1234yf,580 ± 10,100 ± 10
車型 / Car model /  Car model,GLK X204 / GLK X204, / ,2008 - 2015,R134a/R1234yf,590 ± 590,100 ± 10
車型 / Car model /  Car model,GLS X166 / GLS X166, / ,2013 - 2017,R134a,1000 ± 1300,180 ± 20
車型 / Car model /  Car model,M Class W163 / M Class W163, / ,1998 - 2005,R134a,750 ± 20,130 ± 10
車型 / Car model /  Car model,M Class W164/X164 1Blower/2Blower / M Class W164/X164 1Blower/2Blower, / ,2005 - 2012,R134a,970 ± 1220,150 ± 180
車型 / Car model /  Car model,M Class W166/X166 1Blower/2Blower / M Class W166/X166 1Blower/2Blower, / ,2015 -,R1234yf,1000 ± 1300,160 ± 20
車型 / Car model /  Car model,R Class V251 1Blower/2Blower / R Class V251 1Blower/2Blower, / ,2006 - 2012,R134a,970 ± 1220,150 ± 170
車型 / Car model /  Car model,S Class W140 1Blower/2Blower / S Class W140 1Blower/2Blower, / ,1991 - 1998,R134a,1180 ± 1330,200 ± 20
車型 / Car model /  Car model,S Class W220 1Blower/2Blower / S Class W220 1Blower/2Blower, / ,1998 - 2005,R134a,950 ± 1050,170 ± 10
車型 / Car model /  Car model,S Class W221 1Blower/2Blower / S Class W221 1Blower/2Blower, / ,2005 - 2013,R134a,1070 ± 1200,180 ± 20
車型 / Car model /  Car model,S Class W222 1Blower/2Blower / S Class W222 1Blower/2Blower, / ,2013 - 2019,R134a,660 ± 770,120 ± 10
車型 / Car model /  Car model,S Class W222 1Blower/2Blower / S Class W222 1Blower/2Blower, / ,2013 - 2019,R1234yf,640 ± 730,120 ± 10
車型 / Car model /  Car model,S Class W222 1Blower/2Blower / S Class W222 1Blower/2Blower, / ,2013 - 2019,R744,420 ± 450,90 ± 10
車型 / Car model /  Car model,S Class W222 Hybrid 1Blower/2Blower / S Class W222 Hybrid 1Blower/2Blower, / ,2013 - 2019,R134a,770 ± 870,120 ± 10
車型 / Car model /  Car model,S Class W222 Hybrid 1Blower/2Blower / S Class W222 Hybrid 1Blower/2Blower, / ,2013 - 2019,R1234yf,730 ± 850,120 ± 10
車型 / Car model /  Car model,S Class W222 5.0 Hybrid 1Blower/2Blower / S Class W222 5.0 Hybrid 1Blower/2Blower, / ,2014 - 2020,R134a,710 ± 820,120 ± 10
車型 / Car model /  Car model,S Class W222 5.0 Hybrid 1B/2B / S Class W222 5.0 Hybrid 1B/2B, / ,2014 - 2020,R1234yf,670 ± 800,120 ± 10
車型 / Car model /  Car model,S Class W223 / S Class W223, / ,2020 -,R134a,See Spec,見規格 / See Spec
車型 / Car model /  Car model,S Class Coupe C140 / S Class Coupe C140, / ,1992 - 1999,R134a,1200 ± 30,200 ± 20
車型 / Car model /  Car model,S Class Coupe C215 / S Class Coupe C215, / ,1999 - 2006,R134a,950 ± 20,150 ± 10
車型 / Car model /  Car model,S Class Coupe C216 / S Class Coupe C216, / ,2006 - 2013,R134a,1070 ± 30,160 ± 10
車型 / Car model /  Car model,S Class Coupe C217 / S Class Coupe C217, / ,2014 -,R134a/R1234yf,660 ± 640,110 ± 10
車型 / Car model /  Car model,S Class Coupe C217 / S Class Coupe C217, / ,2014 -,R744,420 ± 10,90 ± 10
車型 / Car model /  Car model,SL28 / SL32 / SL500 /SL600 (129) / SL28 / SL32 / SL500 /SL600 (129), / ,1993 - 2001,R134a,950,145 ± 5
車型 / Car model /  Car model,SL R129 / SL R129, / ,1995 - 2001,R134a,950 ± 20,140 ± 10
車型 / Car model /  Car model,SL R230 / SL R230,7SEU16C / 7SEU16C,2001 -,R134a,920,120
車型 / Car model /  Car model,SL R230 / SL R230,7SEU17C / 7SEU17C,2001 -,R134a,920,140
車型 / Car model /  Car model,SL R230 / SL R230, / ,2001 - 2012,R134a,920 ± 20,140 ± 10
車型 / Car model /  Car model,SL R231 / SL R231, / ,2012 -,R134a/R1234yf,550 ± 550,100 ± 10
車型 / Car model /  Car model,SLC / SLC, / ,2011 -,R134a/R1234yf,550 ± 550,100 ± 10
車型 / Car model /  Car model,SLK R170 / SLK R170, / ,1996 - 2004,R134a,850 ± 20,130 ± 10
車型 / Car model /  Car model,SLK R171 <VIN187119/VIN187120> / SLK R171 <VIN187119/VIN187120>, / ,2004 - 2011,R134a,670 ± 20,110 ± 90
車型 / Car model /  Car model,SLR R199 / SLR R199, / ,2004 - 2009,R134a,980 ± 20,150 ± 10
車型 / Car model /  Car model,SLS AMG R197 / SLS AMG R197, / ,2010 - 2013,R134a,780 ± 20,130 ± 10
車型 / Car model /  Car model,SPRINTER (901 / 2 / 3 / 4 / 5 ) / SPRINTER (901 / 2 / 3 / 4 / 5 ), / ,1995 - 2006,R134a,860,160
車型 / Car model /  Car model,SPRINTER 906 / SPRINTER 906, / ,2006 -,R134a,1000,190
車型 / Car model /  Car model,SPRINTER 906 / SPRINTER 906,with automatic AC / with automatic AC,2006 -,R134a,800,190
車型 / Car model /  Car model,SPRINTER 906 / SPRINTER 906,with automatic AC and with rear AC / with automatic AC and with rear AC,2006 -,R134a,1190,120
車型 / Car model /  Car model,T1 / TN 407-410 / T1 / TN 407-410, / ,1993 - 1995,R134a,700,120
車型 / Car model /  Car model,T1 / TN 507-711 / T1 / TN 507-711, / ,1993 - 1995,R134a,660,120
車型 / Car model /  Car model,VANEO 414 / VANEO 414, / ,2005 - 2005,R134a,600,100
車型 / Car model /  Car model,VARIO / VARIO, / ,1996 -,R134a,1225,160
車型 / Car model /  Car model,V-CLASS / VITO 638 / V-CLASS / VITO 638,7SB16 / 7SB16,1995 - 2003,R134a,850,175
車型 / Car model /  Car model,V-CLASS / VITO 638 / V-CLASS / VITO 638,10PA17C / 10PA17C,1995 - 2003,R134a,920,120
車型 / Car model /  Car model,V-CLASS / VITO 638 / V-CLASS / VITO 638,SD7V16 / SD7V16,1995 - 2003,R134a,850,135
車型 / Car model /  Car model,V-CLASS / VITO 638 / V-CLASS / VITO 638,7SB16/HH7/with rear AC / 7SB16/HH7/with rear AC,1995 - 2003,R134a,1100,175
車型 / Car model /  Car model,VIANO / VITO / VIANO / VITO, / ,2003 -,R134a,550,190
車型 / Car model /  Car model,VIANO / VITO / VIANO / VITO, / ,2003 -,R134a,840,190
車型 / Car model /  Car model,VIANO / VITO / VIANO / VITO,LWB with rear AC / LWB with rear AC,2003 -,R134a,870,190
車型 / Car model /  Car model,Vito W639 1Blower/2Blower / Vito W639 1Blower/2Blower, / ,2003 - 2014,R134a,550 ± 840,100 ± 140
車型 / Car model /  Car model,V Class W447 1Blower/2Blower / V Class W447 1Blower/2Blower, / ,2014 -,R134a,600 ± 900,100 ± 150
車型 / Car model /  Car model,V Class W447 1Blower/2Blower / V Class W447 1Blower/2Blower, / ,2014 -,R1234yf,600 ± 900,100 ± 150
車型 / Car model /  Car model,MERCEDES TRUCK / MERCEDES TRUCK, / ,,,,
車型 / Car model /  Car model,"此充填冷媒量僅供參考,正確請以原廠標示為準 / This refrigerant filling amount is for reference only. For correctness, please refer to the original factory label.", / ,,,,
車型 / Car model /  Car model,ACTROS / ACTROS, / ,1996 - 2002,R134a,1100,160
車型 / Car model /  Car model,ACTROS / ACTROS, / ,2003 - 2008,R134a,1100,175
車型 / Car model /  Car model,ACTROS / ACTROS,with auxiliary air conditioning / with auxiliary air conditioning,2003 - 2008,R134a,1600,180
車型 / Car model /  Car model,ATEGO I / ATEGO I, / ,1998 - 2004,R134a,1000,160
車型 / Car model /  Car model,ATEGO I / ATEGO I,with auxiliary air conditioning / with auxiliary air conditioning,1998 - 2004,R134a,1200,160
車型 / Car model /  Car model,ATEGO II / ATEGO II, / ,2004 -,R134a,1200,160
車型 / Car model /  Car model,AXOR / AXOR, / ,2001 - 2004,R134a,1100,175
車型 / Car model /  Car model,AXOR II / AXOR II, / ,2004 -,R134a,1100,見規格 / See Spec
車型 / Car model /  Car model,ECONIC / ECONIC, / ,1998 - 2008,R134a,600,160
車型 / Car model /  Car model,UNIMOG U300-500 / UNIMOG U300-500, / ,2000 - 2004,R134a,1400,150
車型 / Car model /  Car model,ZETROS / ZETROS, / ,2008 -,R134a,1250,見規格 / See Spec
MINI / MINI,"此充填冷媒量僅供參考,正確請以原廠標示為準 / This refrigerant filling amount is for reference only. For correctness, please refer to the original factory label.", / ,,,,
車型 / Car model /  Car model,MINI / MINI, / ,2001 - 2006,R134a,415 ± 10,見規格 / See Spec
車型 / Car model /  Car model,MINI (R56) / MINI (R56), / ,2006 -,R134a,490,見規格 / See Spec
車型 / Car model /  Car model,MINI CLUBMAN (R55) / MINI CLUBMAN (R55), / ,2007 -,R134a,490,見規格 / See Spec
車型 / Car model /  Car model,MINI CABRIOLET (R57) / MINI CABRIOLET (R57), / ,2007 -,R134a,490,見規格 / See Spec
MITSUBISHI / MITSUBISHI,"此充填冷媒量僅供參考,正確請以原廠標示為準 / This refrigerant filling amount is for reference only. For correctness, please refer to the original factory label.", / ,,,,
車型 / Car model /  Car model,3000 GT Z1 / 3000 GT Z1, / ,1998 - 2000,R134a,650 ± 20,120 ± 10
車型 / Car model /  Car model,Airtrek / Airtrek, / ,2001 - 2008,R134a,550 ± 10,100 ± 10
車型 / Car model /  Car model,ASX / ASX, / ,2010 - 2020,R134a,480 ± 10,90 ± 10
車型 / Car model /  Car model,Attrage / Attrage, / ,2013 - 2015,R134a,400 ± 10,80 ± 10
車型 / Car model /  Car model,Challenger / Challenger, / ,1998 - 2005,R134a,620 ± 20,110 ± 10
車型 / Car model /  Car model,Chariot / Chariot, / ,1997 - 2003,R134a,970 ± 20,150 ± 10
車型 / Car model /  Car model,Colt / Colt, / ,1996 - 2005,R134a,570 ± 10,100 ± 10
車型 / Car model /  Car model,Colt / Colt, / ,2005 - 2012,R134a,420 ± 10,80 ± 10
車型 / Car model /  Car model,COLT / COLT, / ,2004 - 2008,R134a,430 ± 20,100
車型 / Car model /  Car model,COLT / COLT, / ,2008 -,R134a,430 ± 20,100
車型 / Car model /  Car model,COLT CZC CABRIOLET / COLT CZC CABRIOLET, / ,2006 -,R134a,430 ± 20,100
車型 / Car model /  Car model,COLT / LANCER / COLT / LANCER,FX80 / FX80,1988 - 1992,R12 → R134a,1020,140 ± 10
車型 / Car model /  Car model,COLT / LANCER / COLT / LANCER,FX105V / FX105V,1988 - 1992,R12 → R134a,1020,160 ± 10
車型 / Car model /  Car model,COLT / LANCER / COLT / LANCER, / ,1992 - 1996,R134a,590 ± 20,120
車型 / Car model /  Car model,COLT / LANCER / COLT / LANCER, / ,1996 - 2003,R134a,575 ± 20,60
車型 / Car model /  Car model,Galant / Galant, / ,1993 - 1997,R134a,650 ± 20,155 ± 5
車型 / Car model /  Car model,Galant / Galant, / ,1996 - 2004,R134a,690 ± 20,120 ± 10
車型 / Car model /  Car model,Galant / SAPORRO / Galant / SAPORRO, / ,1987 - 1993,R12 → R134a,1000,140 ± 10
車型 / Car model /  Car model,GRANDIS / GRANDIS, / ,2004 - 2010,R134a,560 ± 25,170 ± 10
車型 / Car model /  Car model,GRANDIS / GRANDIS,with rear AC / with rear AC,2004 - 2010,R134a,750 ± 25,170 ± 10
車型 / Car model /  Car model,Delica Space Gear L400 2Blower / Delica Space Gear L400 2Blower, / ,1996 - 2007,R134a,970 ± 20,160 ± 10
車型 / Car model /  Car model,Galant / Galant, / ,1996 - 2004,R134a,690 ± 20,120 ± 10
車型 / Car model /  Car model,Grandis 1Blower/2Blower / Grandis 1Blower/2Blower, / ,2004 - 2011,R134a,780 ± 1180,130 ± 160
車型 / Car model /  Car model,I-MiEV / I-MiEV, / ,2009 -,R134a,320 ± 10,60 ± 10
車型 / Car model /  Car model,Lancer / Lancer, / ,1996 - 2004,R134a,550 ± 10,100 ± 10
車型 / Car model /  Car model,Lancer / Lancer, / ,2004 - 2008,R134a,500 ± 20,140
車型 / Car model /  Car model,Lancer / Lancer, / ,2008 -,R134a,500,200
車型 / Car model /  Car model,Lancer / Lancer, / ,2004 - 2013,R134a,530 ± 10,100 ± 10
車型 / Car model /  Car model,LANCER ESTATE / KOMBI / LANCER ESTATE / KOMBI, / ,1993 - 1997,R134a,700,130 ± 10
車型 / Car model /  Car model,Mirage / Mirage, / ,2012 - 2018,R134a,400 ± 10,80 ± 10
車型 / Car model /  Car model,Outlander / Outlander, / ,2002 - 2006,R134a,550 ± 10,100 ± 10
車型 / Car model /  Car model,Outlander / Outlander, / ,2006 - 2012,R134a,500 ± 10,90 ± 10
車型 / Car model /  Car model,Outlander / Outlander, / ,2013 - 2021,R134a,500 ± 10,90 ± 10
車型 / Car model /  Car model,PAJERO / SHOGUN / PAJERO / SHOGUN, / ,1991 - 1994,R12 → R134a,800 ± 50,80
車型 / Car model /  Car model,PAJERO / SHOGUN / PAJERO / SHOGUN,with rear AC / with rear AC,1991 - 1994,R12 → R134a,1250 ± 50,150
車型 / Car model /  Car model,PAJERO / SHOGUN / PAJERO / SHOGUN, / ,1994 - 2000,R134a,625 ± 25,80
車型 / Car model /  Car model,PAJERO / SHOGUN / PAJERO / SHOGUN,with rear AC / with rear AC,1994 - 2000,R134a,1025 ± 25,150
車型 / Car model /  Car model,PAJERO / SHOGUN / PAJERO / SHOGUN, / ,2000 - 2006,R134a,550 ± 20,120 ± 20
車型 / Car model /  Car model,PAJERO / SHOGUN / PAJERO / SHOGUN,with rear AC / with rear AC,2000 - 2006,R134a,750 ± 50,140 ± 20
車型 / Car model /  Car model,PAJERO / PAJERO, / ,2006 -,R134a,550,見規格 / See Spec
車型 / Car model /  Car model,PAJERO / PAJERO,with rear AC / with rear AC,2006 -,R134a,870,見規格 / See Spec
車型 / Car model /  Car model,PAJERO / SHOGUN 2.6 2.5 TURBO D / PAJERO / SHOGUN 2.6 2.5 TURBO D, / ,1988 - 1991,R12 → R134a,910,170 ± 30
車型 / Car model /  Car model,PAJERO / SHOGUN 2.6 2.5 TURBO D / PAJERO / SHOGUN 2.6 2.5 TURBO D,with rear AC / with rear AC,1988 - 1991,R12 → R134a,1390,150 ± 20
車型 / Car model /  Car model,PAJERO / SHOGUN 3.0 / PAJERO / SHOGUN 3.0, / ,1998 - 2006,R12 → R134a,910,80 ± 20
車型 / Car model /  Car model,PAJERO / SHOGUN 3.0 / PAJERO / SHOGUN 3.0,with rear AC / with rear AC,1999 - 2006,R12 → R134a,1390,150 ± 20
車型 / Car model /  Car model,PAJERO / SHOGUN SPORT / CHALLENGER / PAJERO / SHOGUN SPORT / CHALLENGER, / ,1999 - 2006,R134a,625 ± 25,170
車型 / Car model /  Car model,PAJERO PININ / SHOGUN LHD / PAJERO PININ / SHOGUN LHD, / ,1991 - 1993,R134a,620 ± 20,165 ± 5
車型 / Car model /  Car model,PAJERO PININ / SHOGUN RHD / PAJERO PININ / SHOGUN RHD, / ,1999 - 2005,R134a,570 ± 20,165 ± 5
車型 / Car model /  Car model,Pajero IO / Pajero IO, / ,1999 - 2007,R134a,570 ± 10,100 ± 10
車型 / Car model /  Car model,Pajero V60 1Blower/2Blower / Pajero V60 1Blower/2Blower, / ,1999 - 2006,R134a,550 ± 750,100 ± 130
車型 / Car model /  Car model,Pajero V80 1Blower/2Blower / Pajero V80 1Blower/2Blower, / ,2006 - 2020,R134a,550 ± 870,100 ± 140
車型 / Car model /  Car model,Pajero Sport 2Blower / Pajero Sport 2Blower, / ,2008 - 2016,R134a,780 ± 20,130 ± 10
車型 / Car model /  Car model,SPACE RUNNER / WAGON / SPACE RUNNER / WAGON, / ,1991 - 1993,R12 → R134a,800,90 ± 10
車型 / Car model /  Car model,SPACE RUNNER / WAGON / SPACE RUNNER / WAGON, / ,1999 - 2005,R134a,550 ± 50,80 ± 20
車型 / Car model /  Car model,SPACE RUNNER / WAGON / SPACE RUNNER / WAGON,10PA15 / 10PA15,1993 - 1998,R134a,720,120 ± 20
車型 / Car model /  Car model,SPACE RUNNER / WAGON / SPACE RUNNER / WAGON,10PA17 / 10PA17,1993 - 1998,R134a,720,180 ± 20
車型 / Car model /  Car model,SPACE STAR / SPACE STAR, / ,1999 - 2006,R134a,680 ± 20,120
車型 / Car model /  Car model,Triton / Triton, / ,2006 - 2015,R134a,550 ± 10,100 ± 10
車型 / Car model /  Car model,Triton / Triton, / ,2015 -,R134a,520 ± 10,100 ± 10
車型 / Car model /  Car model,Xpander / Xpander, / ,2019 -,R134a,550 ± 10,140 ± 10
NAZA / NAZA,"此充填冷媒量僅供參考,正確請以原廠標示為準 / This refrigerant filling amount is for reference only. For correctness, please refer to the original factory label.", / ,,,,
車型 / Car model /  Car model,Bestari / Bestari, / ,2006 -,R134a,450 ± 10,90 ± 10
車型 / Car model /  Car model,Citra / Citra, / ,2005 -,R134a,500 ± 10,100 ± 10
車型 / Car model /  Car model,Ria / Ria, / ,2003 -,R134a,880 ± 20,150 ± 10
車型 / Car model /  Car model,Rondo / Rondo, / ,2008 -,R134a,450 ± 10,100 ± 10
車型 / Car model /  Car model,Suria / Suria, / ,2006 -,R134a,370 ± 10,70 ± 10
車型 / Car model /  Car model,Sutera / Sutera, / ,2006 -,R134a,350 ± 10,70 ± 10
NISSAN / NISSAN,"此充填冷媒量僅供參考,正確請以原廠標示為準 / This refrigerant filling amount is for reference only. For correctness, please refer to the original factory label.", / ,,,,
車型 / Car model /  Car model,200SX(S13) / 200SX(S13), / ,1989 - 1994,R12 → R134a,800 ± 50,200
車型 / Car model /  Car model,200SX(S14) / 200SX(S14), / ,1994 - 2000,R134a,700 ± 100,200
車型 / Car model /  Car model,300ZX(Z31) / 300ZX(Z31), / ,1987 - 1990,R12 → R134a,1000 ± 100,150
車型 / Car model /  Car model,300ZX(Z32) / 300ZX(Z32), / ,1994 - 2000,R134a,600 ± 50,200
車型 / Car model /  Car model,350Z / 350Z, / ,2002 - 2009,R134a,550 ± 10,100 ± 10
車型 / Car model /  Car model,370Z / 370Z, / ,2009 -,R134a,500 ± 10,100 ± 10
車型 / Car model /  Car model,ALMERA (N15) LHD / ALMERA (N15) LHD,Calsonic / Calsonic,1995 - 2000,R134a,650 ± 50,180
車型 / Car model /  Car model,ALMERA (N15) LHD / ALMERA (N15) LHD,Zexel / Zexel,1995 - 2000,R134a,650 ± 50,200
車型 / Car model /  Car model,ALMERA (N15) RHD / ALMERA (N15) RHD,Calsonic / Calsonic,1995 - 2000,R134a,500 ± 50,180
車型 / Car model /  Car model,ALMERA (N15) RHD / ALMERA (N15) RHD,Zexel / Zexel,1995 - 2000,R134a,500 ± 50,200
車型 / Car model /  Car model,ALMERA (N16) / ALMERA (N16), / ,2000 - 2006,R134a,500 ± 50,200
車型 / Car model /  Car model,ALMERA TINO (V10) / ALMERA TINO (V10), / ,2000 - 2006,R134a,500 ± 50,200
車型 / Car model /  Car model,Almera / Almera, / ,2011 - 2019,R134a,450 ± 10,80 ± 10
車型 / Car model /  Car model,Almera / Almera, / ,2019 -,R134a,420 ± 10,70 ± 10
車型 / Car model /  Car model,ATLEON / ATLEON,Ch.514 110 / Ch.514 110,1999 -,R134a,750,260 ± 10
車型 / Car model /  Car model,ATLEON 110 / ATLEON 110,140Ch->514109 / 140Ch->514109,1999 -,R134a,900 ± 50,260 ± 10
車型 / Car model /  Car model,ATLEON 165 / ATLEON 165,210Ch->514109 / 210Ch->514109,1999 -,R134a,950 ± 50,260 ± 10
車型 / Car model /  Car model,BLUEBIRD (T12 / 72) LHD / BLUEBIRD (T12 / 72) LHD, / ,1984 - 1991,R12 → R134a,1000 ± 100,150
車型 / Car model /  Car model,BLUEBIRD (T12 / 72) RHD / BLUEBIRD (T12 / 72) RHD, / ,1984 - 1991,R12 → R134a,1000 ± 100,200
車型 / Car model /  Car model,CABSTAR (F23) / CABSTAR (F23), / ,1992 - 1994,R12 → R134a,550 ± 50,250
車型 / Car model /  Car model,CABSTAR (F23) / CABSTAR (F23), / ,1994 - 2000,R134a,650 ± 50,250
車型 / Car model /  Car model,Cefiro A32 / Cefiro A32, / ,1996 - 2001,R134a,650 ± 20,110 ± 10
車型 / Car model /  Car model,Cefiro A33 / Cefiro A33, / ,2001 - 2008,R134a,600 ± 20,110 ± 10
車型 / Car model /  Car model,Cube / Cube, / ,2008 -,R134a,450 ± 10,70 ± 10
車型 / Car model /  Car model,Frontier / Frontier, / ,2003 - 2010,R134a,620 ± 10,120 ± 10
車型 / Car model /  Car model,GT-R 34 / GT-R 34, / ,1999 - 2002,R134a,580 ± 10,110 ± 10
車型 / Car model /  Car model,GT-R 35 / GT-R 35, / ,2007 -,R134a,500 ± 10,90 ± 10
車型 / Car model /  Car model,INTERSTAR / INTERSTAR, / ,2002 -,R134a,850 ± 50,220
車型 / Car model /  Car model,INTERSTAR / INTERSTAR,with rear AC / with rear AC,2002 -,R134a,1400 ± 50,220
車型 / Car model /  Car model,Juke / Juke, / ,2010 - 2015,R134a,450 ± 10,90 ± 10
車型 / Car model /  Car model,KUBISTAR / KUBISTAR, / ,2003 -,R134a,600 ± 20,135
車型 / Car model /  Car model,Latio / Latio, / ,2007 - 2013,R134a,450 ± 10,90 ± 10
車型 / Car model /  Car model,Leaf / Leaf, / ,2010 - 2015,R134a,430 ± 10,80 ± 10
車型 / Car model /  Car model,Leaf / Leaf, / ,2017 -,R1234yf,See Spec,見規格 / See Spec
車型 / Car model /  Car model,Livina / Livina, / ,2007 - 2018,R134a,480 ± 10,90 ± 10
車型 / Car model /  Car model,MAXIMA (J30) / MAXIMA (J30), / ,1988 - 1994,R12 → R134a,850 ± 50,200
車型 / Car model /  Car model,MAXIMA OX (A32) / MAXIMA OX (A32), / ,1994 - 2000,R134a,650 ± 50,250
車型 / Car model /  Car model,MAXIMA OX (A33) / MAXIMA OX (A33), / ,2000 - 2004,R134a,650 ± 50,200
車型 / Car model /  Car model,MICRA (K11) / MICRA (K11), / ,1992 - 1994,R12 → R134a,700 ± 50,150
車型 / Car model /  Car model,MICRA (K11) / MICRA (K11), / ,1994 - 2000,R134a,450 ± 50,200
車型 / Car model /  Car model,MICRA (K11) / MICRA (K11), / ,2000 - 2002,R134a,500 ± 50,200
車型 / Car model /  Car model,MICRA (K12) / MICRA (K12), / ,2003 - 2010,R134a,500 ± 50,200
車型 / Car model /  Car model,MICRA (K12) 1.5DCI / MICRA (K12) 1.5DCI, / ,2003 - 2010,R134a,550 ± 50,200
車型 / Car model /  Car model,Murano Z50 / Murano Z50, / ,2003 - 2007,R134a,520 ± 10,100 ± 10
車型 / Car model /  Car model,Murano Z51 / Murano Z51, / ,2007 - 2014,R134a,580 ± 10,110 ± 10
車型 / Car model /  Car model,Murano Z52 / Murano Z52, / ,2014 -,R1234yf,450 ± 10,90 ± 10
車型 / Car model /  Car model,NAVARA / PICK-UP (D22) / NAVARA / PICK-UP (D22), / ,1998 - 2002,R134a,550 ± 50,200
車型 / Car model /  Car model,NAVARA / PICK-UP (D22) / NAVARA / PICK-UP (D22), / ,2002 - 2004,R134a,600 ± 50,200
車型 / Car model /  Car model,NAVARA / NAVARA, / ,2004 -,R134a,1080,280
車型 / Car model /  Car model,NAVARA / NAVARA,with automatic AC / with automatic AC,2004 -,R134a,700,180
車型 / Car model /  Car model,NAVARA / NAVARA,with rear AC / with rear AC,2004 -,R134a,800,210
車型 / Car model /  Car model,NOTE 1.4I / NOTE 1.4I, / ,2007 -,R134a,475 ± 25,80
車型 / Car model /  Car model,NOTE 1.6L / NOTE 1.6L, / ,2006 -,R134a,475 ± 25,120
車型 / Car model /  Car model,NOTE 1.5DCI / NOTE 1.5DCI, / ,2006 -,R134a,550 ± 50,135
車型 / Car model /  Car model,Navara / Navara, / ,2009 - 2015,R134a,650 ± 20,120 ± 10
車型 / Car model /  Car model,Navara / Navara, / ,2015 -,R134a,650 ± 20,120 ± 10
車型 / Car model /  Car model,NV200 1Blower / NV200 1Blower, / ,2007 -,R134a,450 ± 10,90 ± 10
車型 / Car model /  Car model,PATROL (160) / PATROL (160), / ,1982 - 1989,R12 → R134a,1000 ± 100,270
車型 / Car model /  Car model,PATROL (260) / PATROL (260), / ,1985 - 1994,R12 → R134a,900 ± 100,200
車型 / Car model /  Car model,PATROL (Y61) / PATROL (Y61), / ,1998 - 2004,R134a,800 ± 50,300
車型 / Car model /  Car model,PATROL GR (Y60) / PATROL GR (Y60), / ,1987 - 1994,R12 → R134a,1000 ± 100,200
車型 / Car model /  Car model,PATROL GR (Y60) / PATROL GR (Y60), / ,1994 - 1998,R134a,600 ± 50,200
車型 / Car model /  Car model,PICK-UP (D21) / PICK-UP (D21), / ,1992 - 1998,R134a,800 ± 50,200
車型 / Car model /  Car model,PIX0 / PIX0, / ,2009 -,R134a,450,65
車型 / Car model /  Car model,PRAIRIE (M10) / PRAIRIE (M10), / ,1986 - 1989,R12 → R134a,1000 ± 100,150
車型 / Car model /  Car model,PRAIRIE (M10) / PRAIRIE (M10),with rear AC / with rear AC,1986 - 1989,R12 → R134a,1400 ± 100,240
車型 / Car model /  Car model,PRAIRIE (M11) 2.0 / PRAIRIE (M11) 2.0, / ,1989 - 1994,R12 → R134a,900 ± 50,150
車型 / Car model /  Car model,PRAIRIE (M11) 2.4 LHD / PRAIRIE (M11) 2.4 LHD, / ,1992 - 1995,R12 → R134a,900 ± 50,200
車型 / Car model /  Car model,PRAIRIE (M11) 2.4 RHD / PRAIRIE (M11) 2.4 RHD, / ,1992 - 1995,R12 → R134a,750 ± 50,200
車型 / Car model /  Car model,PRIMASTAR / PRIMASTAR, / ,2002 - 2006,R134a,700 ± 25,220 ± 15
車型 / Car model /  Car model,PRIMASTAR / PRIMASTAR, / ,2006 -,R134a,750,220
車型 / Car model /  Car model,PRIMASTAR / PRIMASTAR,with rear AC / with rear AC,2006 -,R134a,1050,240
車型 / Car model /  Car model,PRIMERA (P10) / PRIMERA (P10), / ,1993 - 1996,R134a,750 ± 50,200
車型 / Car model /  Car model,PRIMERA (P10) LHD / PRIMERA (P10) LHD, / ,1990 - 1993,R12 → R134a,750 ± 50,200
車型 / Car model /  Car model,PRIMERA (P10) RHD / PRIMERA (P10) RHD, / ,1990 - 1993,R12 → R134a,850 ± 50,200
車型 / Car model /  Car model,PRIMERA (P11) / PRIMERA (P11), / ,1996 - 1999,R134a,600 ± 50,180
車型 / Car model /  Car model,PRIMERA (P11-144)1.6ENG./MOT.GA16DE / PRIMERA (P11-144)1.6ENG./MOT.GA16DE, / ,1999 - 2001,R134a,600 ± 50,180
車型 / Car model /  Car model,PRIMERA (P11-144)1.6ENG./MOT.QA16DE / PRIMERA (P11-144)1.6ENG./MOT.QA16DE, / ,2001 - 2002,R134a,600 ± 50,200
車型 / Car model /  Car model,PRIMERA (P11-144)1.8 2.0 / PRIMERA (P11-144)1.8 2.0, / ,1999 - 2002,R134a,600 ± 50,200
車型 / Car model /  Car model,PRIMERA (P11-144)2.0 D TURBO / PRIMERA (P11-144)2.0 D TURBO, / ,1999 - 2002,R134a,600 ± 50,180
車型 / Car model /  Car model,PRIMERA (P12) / PRIMERA (P12), / ,2002 - 2007,R134a,500,180
